0.993Model,Fold,Task,Train/Test,Type,AUC
LR,3,4,test,total,0.9355555555555556
LR,3,4,test,image,0.9625
LR,3,4,test,text,0.84
LR,3,5,train,total,0.9982638888888888
LR,3,5,train,image,1.0
LR,3,5,train,text,0.984375
LR,3,5,test,total,1.0
LR,3,5,test,image,1.0
LR,3,5,test,text,1.0
LR,3,AVG,train,total,0.9929224537037037
LR,3,AVG,train,image,0.9994921875
LR,3,AVG,train,text,0.9500000000000001
LR,3,AVG,test,total,0.8738888888888888
LR,3,AVG,test,image,0.87875
LR,3,AVG,test,text,0.9249999999999999
LR,4,0,train,total,0.9899652777777778
LR,4,0,train,image,0.998203125
LR,4,0,train,text,0.951875
LR,4,0,test,total,0.8022222222222222
LR,4,0,test,image,0.7825
LR,4,0,test,text,0.9500000000000001
LR,4,1,train,total,0.9946527777777777
LR,4,1,train,image,0.99828125
LR,4,1,train,text,0.981875
LR,4,1,test,total,0.8577777777777778
LR,4,1,test,image,0.8600000000000001
LR,4,1,test,text,1.0
LR,4,2,train,total,0.9873611111111111
LR,4,2,train,image,1.0
LR,4,2,train,text,0.8881249999999999
LR,4,2,test,total,0.9722222222222222
LR,4,2,test,image,0.99
LR,4,2,test,text,0.89
LR,4,3,train,total,0.9949305555555557
LR,4,3,train,image,1.0
LR,4,3,train,text,0.955
LR,4,3,test,total,0.9
LR,4,3,test,image,0.9524999999999999
LR,4,3,test,text,0.8200000000000001
LR,4,4,train,total,0.9892361111111112
LR,4,4,train,image,1.0
LR,4,4,train,text,0.915625
LR,4,4,test,total,0.8866666666666666
LR,4,4,test,image,0.885
LR,4,4,test,text,0.9400000000000001
LR,4,5,train,total,0.99875
LR,4,5,train,image,1.0
LR,4,5,train,text,0.98875
LR,4,5,test,total,0.9955555555555555
LR,4,5,test,image,1.0
LR,4,5,test,text,0.96
LR,4,AVG,train,total,0.9924826388888889
LR,4,AVG,train,image,0.9994140625
LR,4,AVG,train,text,0.946875
LR,4,AVG,test,total,0.9024074074074074
LR,4,AVG,test,image,0.9116666666666666
LR,4,AVG,test,text,0.9266666666666667
LR,AVG,0,train,total,0.9908958333333333
LR,AVG,0,train,image,0.998671875
LR,AVG,0,train,text,0.9565000000000001
LR,AVG,0,test,total,0.7422222222222222
LR,AVG,0,test,image,0.7135
LR,AVG,0,test,text,0.914
LR,AVG,1,train,total,0.9950416666666667
LR,AVG,1,train,image,0.998375
LR,AVG,1,train,text,0.9861249999999998
LR,AVG,1,test,total,0.8395555555555555
LR,AVG,1,test,image,0.8200000000000001
LR,AVG,1,test,text,0.9800000000000001
LR,AVG,2,train,total,0.98925
LR,AVG,2,train,image,1.0
LR,AVG,2,train,text,0.9037499999999999
LR,AVG,2,test,total,0.9586666666666668
LR,AVG,2,test,image,0.9945
LR,AVG,2,test,text,0.776
LR,AVG,3,train,total,0.9935555555555554
LR,AVG,3,train,image,1.0
LR,AVG,3,train,text,0.9431249999999999
LR,AVG,3,test,total,0.8771111111111111
LR,AVG,3,test,image,0.9065
LR,AVG,3,test,text,0.8860000000000001
LR,AVG,4,train,total,0.9913611111111111
LR,AVG,4,train,image,0.9998437499999999
LR,AVG,4,train,text,0.9363750000000002
LR,AVG,4,test,total,0.914
LR,AVG,4,test,image,0.943
LR,AVG,4,test,text,0.8560000000000001
LR,AVG,5,train,total,0.9985138888888889
LR,AVG,5,train,image,1.0
LR,AVG,5,train,text,0.9866250000000001
LR,AVG,5,test,total,0.9960000000000001
LR,AVG,5,test,image,1.0
LR,AVG,5,test,text,0.97
LR,AVG,AVG,train,total,0.9931030092592593
LR,AVG,AVG,train,image,0.9994817708333333
LR,AVG,AVG,train,text,0.9520833333333332
LR,AVG,AVG,test,total,0.8879259259259259
LR,AVG,AVG,test,image,0.8962499999999999
LR,AVG,AVG,test,text,0.8970000000000001
