Model,Fold,Task,Train/Test,Type,AUC
STMK,3,3,train,total,0.9370138888888888
STMK,3,3,train,image,0.9767187500000001
STMK,3,3,train,text,0.824375
STMK,3,3,test,total,0.9
STMK,3,3,test,image,0.9175
STMK,3,3,test,text,0.93
STMK,3,4,train,total,0.9825694444444444
STMK,3,4,train,image,0.99734375
STMK,3,4,train,text,0.9
STMK,3,4,test,total,0.9388888888888889
STMK,3,4,test,image,0.9850000000000001
STMK,3,4,test,text,0.81
STMK,3,5,train,total,0.9984027777777778
STMK,3,5,train,image,1.0
STMK,3,5,train,text,0.985625
STMK,3,5,test,total,0.9977777777777778
STMK,3,5,test,image,1.0
STMK,3,5,test,text,0.98
STMK,3,AVG,train,total,0.9755497685185186
STMK,3,AVG,train,image,0.9936848958333333
STMK,3,AVG,train,text,0.9101041666666667
STMK,3,AVG,test,total,0.9281481481481481
STMK,3,AVG,test,image,0.9595833333333333
STMK,3,AVG,test,text,0.915
STMK,4,0,train,total,0.9600347222222223
STMK,4,0,train,image,0.9839843749999999
STMK,4,0,train,text,0.91375
STMK,4,0,test,total,0.8644444444444445
STMK,4,0,test,image,0.9125
STMK,4,0,test,text,0.9500000000000001
STMK,4,1,train,total,0.9799305555555555
STMK,4,1,train,image,0.9945312500000001
STMK,4,1,train,text,0.9781249999999999
STMK,4,1,test,total,0.9055555555555557
STMK,4,1,test,image,0.9475
STMK,4,1,test,text,1.0
STMK,4,2,train,total,0.9778472222222222
STMK,4,2,train,image,1.0
STMK,4,2,train,text,0.825
STMK,4,2,test,total,0.9611111111111111
STMK,4,2,test,image,0.9924999999999999
STMK,4,2,test,text,0.8800000000000001
STMK,4,3,train,total,0.9793055555555557
STMK,4,3,train,image,1.0
STMK,4,3,train,text,0.8912500000000001
STMK,4,3,test,total,0.9
STMK,4,3,test,image,0.9750000000000001
STMK,4,3,test,text,0.8
STMK,4,4,train,total,0.9818055555555556
STMK,4,4,train,image,0.9996875
STMK,4,4,train,text,0.88
STMK,4,4,test,total,0.9
STMK,4,4,test,image,0.9425
STMK,4,4,test,text,0.83
STMK,4,5,train,total,0.9986111111111111
STMK,4,5,train,image,1.0
STMK,4,5,train,text,0.9875
STMK,4,5,test,total,0.9977777777777778
STMK,4,5,test,image,1.0
STMK,4,5,test,text,0.98
STMK,4,AVG,train,total,0.9795891203703704
STMK,4,AVG,train,image,0.9963671875000001
STMK,4,AVG,train,text,0.9126041666666667
STMK,4,AVG,test,total,0.9214814814814815
STMK,4,AVG,test,image,0.9616666666666668
STMK,4,AVG,test,text,0.9066666666666666
STMK,AVG,0,train,total,0.9695347222222221
STMK,AVG,0,train,image,0.990171875
STMK,AVG,0,train,text,0.92875
STMK,AVG,0,test,total,0.8542222222222222
STMK,AVG,0,test,image,0.891
STMK,AVG,0,test,text,0.924
STMK,AVG,1,train,total,0.9750833333333333
STMK,AVG,1,train,image,0.9934375
STMK,AVG,1,train,text,0.983
STMK,AVG,1,test,total,0.8884444444444446
STMK,AVG,1,test,image,0.9349999999999999
STMK,AVG,1,test,text,0.9719999999999999
STMK,AVG,2,train,total,0.9825416666666668
STMK,AVG,2,train,image,1.0
STMK,AVG,2,train,text,0.8477499999999999
STMK,AVG,2,test,total,0.9597777777777778
STMK,AVG,2,test,image,0.9945
STMK,AVG,2,test,text,0.78
STMK,AVG,3,train,total,0.9597638888888887
STMK,AVG,3,train,image,0.99103125
STMK,AVG,3,train,text,0.8543749999999999
STMK,AVG,3,test,total,0.8842222222222222
STMK,AVG,3,test,image,0.942
STMK,AVG,3,test,text,0.8280000000000001
STMK,AVG,4,train,total,0.9811666666666667
STMK,AVG,4,train,image,0.9986875000000002
STMK,AVG,4,train,text,0.8758750000000001
STMK,AVG,4,test,total,0.9126666666666667
STMK,AVG,4,test,image,0.961
STMK,AVG,4,test,text,0.8
STMK,AVG,5,train,total,0.9984722222222222
STMK,AVG,5,train,image,1.0
STMK,AVG,5,train,text,0.9862499999999998
STMK,AVG,5,test,total,0.9855555555555556
STMK,AVG,5,test,image,0.9855
STMK,AVG,5,test,text,0.968
STMK,AVG,AVG,train,total,0.9777604166666668
STMK,AVG,AVG,train,image,0.9955546875000001
STMK,AVG,AVG,train,text,0.9126666666666666
STMK,AVG,AVG,test,total,0.9141481481481482
STMK,AVG,AVG,test,image,0.9515
STMK,AVG,AVG,test,text,0.8786666666666666
