Model,Fold,Task,Train/Test,Type,AUC
MTSK,3,1,test,image,0.825
MTSK,3,1,test,text,0.9299999999999999
MTSK,3,2,train,total,0.9800694444444444
MTSK,3,2,train,image,0.99953125
MTSK,3,2,train,text,0.8474999999999999
MTSK,3,2,test,total,0.9355555555555556
MTSK,3,2,test,image,0.9825
MTSK,3,2,test,text,0.89
MTSK,3,3,train,total,0.9625
MTSK,3,3,train,image,0.994375
MTSK,3,3,train,text,0.8274999999999999
MTSK,3,3,test,total,0.8555555555555555
MTSK,3,3,test,image,0.875
MTSK,3,3,test,text,0.93
MTSK,3,4,train,total,0.9751388888888889
MTSK,3,4,train,image,0.991875
MTSK,3,4,train,text,0.886875
MTSK,3,4,test,total,0.92
MTSK,3,4,test,image,0.9575
MTSK,3,4,test,text,0.7500000000000001
MTSK,3,5,train,total,0.9975694444444444
MTSK,3,5,train,image,1.0
MTSK,3,5,train,text,0.978125
MTSK,3,5,test,total,1.0
MTSK,3,5,test,image,1.0
MTSK,3,5,test,text,1.0
MTSK,3,AVG,train,total,0.9680497685185184
MTSK,3,AVG,train,image,0.9868098958333333
MTSK,3,AVG,train,text,0.9059375
MTSK,3,AVG,test,total,0.875
MTSK,3,AVG,test,image,0.8995833333333333
MTSK,3,AVG,test,text,0.9033333333333334
MTSK,4,0,train,total,0.9269097222222221
MTSK,4,0,train,image,0.959765625
MTSK,4,0,train,text,0.9206249999999999
MTSK,4,0,test,total,0.8233333333333333
MTSK,4,0,test,image,0.8300000000000001
MTSK,4,0,test,text,0.9400000000000001
MTSK,4,1,train,total,0.9511111111111111
MTSK,4,1,train,image,0.9740625
MTSK,4,1,train,text,0.9625
MTSK,4,1,test,total,0.8644444444444445
MTSK,4,1,test,image,0.8825000000000001
MTSK,4,1,test,text,0.9800000000000001
MTSK,4,2,train,total,0.9772222222222222
MTSK,4,2,train,image,0.99890625
MTSK,4,2,train,text,0.83375
MTSK,4,2,test,total,0.97
MTSK,4,2,test,image,0.9875
MTSK,4,2,test,text,0.8800000000000001
MTSK,4,3,train,total,0.9608333333333334
MTSK,4,3,train,image,0.9889062500000001
MTSK,4,3,train,text,0.889375
MTSK,4,3,test,total,0.9088888888888889
MTSK,4,3,test,image,0.9700000000000001
MTSK,4,3,test,text,0.78
MTSK,4,4,train,total,0.97625
MTSK,4,4,train,image,0.9984375
MTSK,4,4,train,text,0.869375
MTSK,4,4,test,total,0.8777777777777778
MTSK,4,4,test,image,0.905
MTSK,4,4,test,text,0.78
MTSK,4,5,train,total,0.9978472222222222
MTSK,4,5,train,image,1.0
MTSK,4,5,train,text,0.9806250000000001
MTSK,4,5,test,total,0.9966666666666667
MTSK,4,5,test,image,1.0
MTSK,4,5,test,text,0.97
MTSK,4,AVG,train,total,0.9650289351851852
MTSK,4,AVG,train,image,0.9866796875
MTSK,4,AVG,train,text,0.9093749999999999
MTSK,4,AVG,test,total,0.9068518518518519
MTSK,4,AVG,test,image,0.9291666666666667
MTSK,4,AVG,test,text,0.8883333333333333
MTSK,AVG,0,train,total,0.9317708333333332
MTSK,AVG,0,train,image,0.9620468750000001
MTSK,AVG,0,train,text,0.9176250000000001
MTSK,AVG,0,test,total,0.738
MTSK,AVG,0,test,image,0.7415
MTSK,AVG,0,test,text,0.884
MTSK,AVG,1,train,total,0.9584444444444445
MTSK,AVG,1,train,image,0.9746875000000002
MTSK,AVG,1,train,text,0.971875
MTSK,AVG,1,test,total,0.845111111111111
MTSK,AVG,1,test,image,0.8610000000000001
MTSK,AVG,1,test,text,0.9640000000000001
MTSK,AVG,2,train,total,0.9799305555555555
MTSK,AVG,2,train,image,0.99921875
MTSK,AVG,2,train,text,0.85775
MTSK,AVG,2,test,total,0.9624444444444444
MTSK,AVG,2,test,image,0.994
MTSK,AVG,2,test,text,0.79
MTSK,AVG,3,train,total,0.9637222222222223
MTSK,AVG,3,train,image,0.991
MTSK,AVG,3,train,text,0.859
MTSK,AVG,3,test,total,0.8777777777777779
MTSK,AVG,3,test,image,0.9215
MTSK,AVG,3,test,text,0.8320000000000001
MTSK,AVG,4,train,total,0.9745972222222223
MTSK,AVG,4,train,image,0.99509375
MTSK,AVG,4,train,text,0.876
MTSK,AVG,4,test,total,0.9064444444444444
MTSK,AVG,4,test,image,0.943
MTSK,AVG,4,test,text,0.808
MTSK,AVG,5,train,total,0.997625
MTSK,AVG,5,train,image,1.0
MTSK,AVG,5,train,text,0.9786250000000001
MTSK,AVG,5,test,total,0.9957777777777779
MTSK,AVG,5,test,image,1.0
MTSK,AVG,5,test,text,0.97
MTSK,AVG,AVG,train,total,0.9676817129629629
MTSK,AVG,AVG,train,image,0.9870078125
MTSK,AVG,AVG,train,text,0.9101458333333333
MTSK,AVG,AVG,test,total,0.8875925925925926
MTSK,AVG,AVG,test,image,0.9101666666666668
MTSK,AVG,AVG,test,text,0.8746666666666668
