Model,Fold,Task,Train/Test,Type,AUC
MTMK L1,0,0,train,total,0.9943055555555556
MTMK L1,0,0,train,image,1.0
MTMK L1,0,0,train,text,0.9581249999999999
MTMK L1,0,0,test,total,0.8922222222222222
MTMK L1,0,0,test,image,0.9049999999999999
MTMK L1,0,0,test,text,0.91
MTMK L1,0,1,train,total,0.9975694444444444
MTMK L1,0,1,train,image,1.0
MTMK L1,0,1,train,text,0.9837499999999999
MTMK L1,0,1,test,total,0.9122222222222223
MTMK L1,0,1,test,image,0.9375
MTMK L1,0,1,test,text,0.99
MTMK L1,0,2,train,total,0.9888888888888889
MTMK L1,0,2,train,image,1.0
MTMK L1,0,2,train,text,0.8999999999999999
MTMK L1,0,2,test,total,0.9655555555555555
MTMK L1,0,2,test,image,1.0
MTMK L1,0,2,test,text,0.79
MTMK L1,0,3,train,total,0.9960416666666667
MTMK L1,0,3,train,image,1.0
MTMK L1,0,3,train,text,0.964375
MTMK L1,0,3,test,total,0.92
MTMK L1,0,3,test,image,0.9575
MTMK L1,0,3,test,text,0.89
MTMK L1,0,4,train,total,0.993611111111111
MTMK L1,0,4,train,image,1.0
MTMK L1,0,4,train,text,0.948125
MTMK L1,0,4,test,total,0.9133333333333333
MTMK L1,0,4,test,image,0.9525000000000001
MTMK L1,0,4,test,text,0.86
MTMK L1,0,5,train,total,0.9981944444444444
MTMK L1,0,5,train,image,1.0
MTMK L1,0,5,train,text,0.9837499999999999
MTMK L1,0,5,test,total,0.9933333333333334
MTMK L1,0,5,test,image,1.0
MTMK L1,0,5,test,text,0.9400000000000001
MTMK L1,0,AVG,train,total,0.9947685185185186
MTMK L1,0,AVG,train,image,1.0
MTMK L1,0,AVG,train,text,0.9563541666666665
MTMK L1,0,AVG,test,total,0.9327777777777778
MTMK L1,0,AVG,test,image,0.9587499999999999
MTMK L1,0,AVG,test,text,0.8966666666666668
MTMK L1,1,0,train,total,0.9946527777777778
MTMK L1,1,0,train,image,1.0
MTMK L1,1,0,train,text,0.954375
MTMK L1,1,0,test,total,0.77
MTMK L1,1,0,test,image,0.7525000000000001
MTMK L1,1,0,test,text,0.95
MTMK L1,1,1,train,total,0.9977083333333333
MTMK L1,1,1,train,image,1.0
MTMK L1,1,1,train,text,0.981875
MTMK L1,1,1,test,total,0.8999999999999999
