Model,Fold,Task,Train/Test,Type,AUC
MTMK L1,1,1,test,image,0.9349999999999999
MTMK L1,1,1,test,text,1.0
MTMK L1,1,2,train,total,0.9884027777777777
MTMK L1,1,2,train,image,1.0
MTMK L1,1,2,train,text,0.895625
MTMK L1,1,2,test,total,0.9733333333333333
MTMK L1,1,2,test,image,1.0
MTMK L1,1,2,test,text,0.7600000000000001
MTMK L1,1,3,train,total,0.9947916666666666
MTMK L1,1,3,train,image,1.0
MTMK L1,1,3,train,text,0.953125
MTMK L1,1,3,test,total,0.8533333333333334
MTMK L1,1,3,test,image,0.8925000000000001
MTMK L1,1,3,test,text,0.92
MTMK L1,1,4,train,total,0.9943055555555556
MTMK L1,1,4,train,image,1.0
MTMK L1,1,4,train,text,0.955625
MTMK L1,1,4,test,total,0.9044444444444444
MTMK L1,1,4,test,image,0.95
MTMK L1,1,4,test,text,0.76
MTMK L1,1,5,train,total,0.997986111111111
MTMK L1,1,5,train,image,1.0
MTMK L1,1,5,train,text,0.981875
MTMK L1,1,5,test,total,1.0
MTMK L1,1,5,test,image,1.0
MTMK L1,1,5,test,text,1.0
MTMK L1,1,AVG,train,total,0.9946412037037037
MTMK L1,1,AVG,train,image,1.0
MTMK L1,1,AVG,train,text,0.95375
MTMK L1,1,AVG,test,total,0.9001851851851851
MTMK L1,1,AVG,test,image,0.9216666666666667
MTMK L1,1,AVG,test,text,0.8983333333333333
MTMK L1,2,0,train,total,0.9955208333333334
MTMK L1,2,0,train,image,0.9999218750000001
MTMK L1,2,0,train,text,0.9662499999999999
MTMK L1,2,0,test,total,0.7822222222222223
MTMK L1,2,0,test,image,0.7949999999999999
MTMK L1,2,0,test,text,0.89
MTMK L1,2,1,train,total,0.9980555555555555
MTMK L1,2,1,train,image,1.0
MTMK L1,2,1,train,text,0.985
MTMK L1,2,1,test,total,0.8888888888888888
MTMK L1,2,1,test,image,0.8925000000000001
MTMK L1,2,1,test,text,1.0
MTMK L1,2,2,train,total,0.9910416666666666
MTMK L1,2,2,train,image,1.0
MTMK L1,2,2,train,text,0.919375
MTMK L1,2,2,test,total,0.9455555555555557
MTMK L1,2,2,test,image,1.0
MTMK L1,2,2,test,text,0.59
MTMK L1,2,3,train,total,0.994375
MTMK L1,2,3,train,image,1.0
MTMK L1,2,3,train,text,0.949375
MTMK L1,2,3,test,total,0.8555555555555555
MTMK L1,2,3,test,image,0.9
MTMK L1,2,3,test,text,0.8
MTMK L1,2,4,train,total,0.9919444444444445
MTMK L1,2,4,train,image,1.0
MTMK L1,2,4,train,text,0.94
MTMK L1,2,4,test,total,0.9422222222222223
MTMK L1,2,4,test,image,0.9724999999999999
MTMK L1,2,4,test,text,0.88
MTMK L1,2,5,train,total,0.9986111111111111
MTMK L1,2,5,train,image,1.0
MTMK L1,2,5,train,text,0.9875
MTMK L1,2,5,test,total,0.99
MTMK L1,2,5,test,image,1.0
MTMK L1,2,5,test,text,0.9500000000000001
MTMK L1,2,AVG,train,total,0.9949247685185184
MTMK L1,2,AVG,train,image,0.9999869791666667
MTMK L1,2,AVG,train,text,0.9579166666666666
MTMK L1,2,AVG,test,total,0.900740740740741
MTMK L1,2,AVG,test,image,0.9266666666666666
MTMK L1,2,AVG,test,text,0.8516666666666667
MTMK L1,3,0,train,total,0.9937152777777778
MTMK L1,3,0,train,image,0.999765625
MTMK L1,3,0,train,text,0.9556250000000001
MTMK L1,3,0,test,total,0.8344444444444444
MTMK L1,3,0,test,image,0.87
MTMK L1,3,0,test,text,0.93
MTMK L1,3,1,train,total,0.9988194444444445
MTMK L1,3,1,train,image,1.0
MTMK L1,3,1,train,text,0.993125
MTMK L1,3,1,test,total,0.8422222222222222
MTMK L1,3,1,test,image,0.885
MTMK L1,3,1,test,text,0.91
MTMK L1,3,2,train,total,0.9864583333333333
MTMK L1,3,2,train,image,1.0
MTMK L1,3,2,train,text,0.878125
MTMK L1,3,2,test,total,0.9366666666666666
MTMK L1,3,2,test,image,0.9875
MTMK L1,3,2,test,text,0.8799999999999999
MTMK L1,3,3,train,total,0.9944444444444445
MTMK L1,3,3,train,image,1.0
MTMK L1,3,3,train,text,0.95
MTMK L1,3,3,test,total,0.8422222222222223
MTMK L1,3,3,test,image,0.8499999999999999
MTMK L1,3,3,test,text,0.97
MTMK L1,3,4,train,total,0.9913194444444445
MTMK L1,3,4,train,image,1.0
MTMK L1,3,4,train,text,0.934375
MTMK L1,3,4,test,total,0.9477777777777778
MTMK L1,3,4,test,image,0.99
MTMK L1,3,4,test,text,0.87
MTMK L1,3,5,train,total,0.9981944444444444
MTMK L1,3,5,train,image,1.0
MTMK L1,3,5,train,text,0.98375
MTMK L1,3,5,test,total,1.0
MTMK L1,3,5,test,image,1.0
MTMK L1,3,5,test,text,1.0
MTMK L1,3,AVG,train,total,0.9938252314814816
MTMK L1,3,AVG,train,image,0.9999609375
MTMK L1,3,AVG,train,text,0.9491666666666667
MTMK L1,3,AVG,test,total,0.9005555555555556
MTMK L1,3,AVG,test,image,0.9304166666666666
MTMK L1,3,AVG,test,text,0.9266666666666666
MTMK L1,4,0,train,total,0.9939930555555556
MTMK L1,4,0,train,image,0.9999218750000001
MTMK L1,4,0,train,text,0.951875
MTMK L1,4,0,test,total,0.8422222222222222
MTMK L1,4,0,test,image,0.8424999999999999
MTMK L1,4,0,test,text,0.9199999999999999
MTMK L1,4,1,train,total,0.9977083333333333
MTMK L1,4,1,train,image,1.0
MTMK L1,4,1,train,text,0.981875
MTMK L1,4,1,test,total,0.8744444444444445
MTMK L1,4,1,test,image,0.915
MTMK L1,4,1,test,text,1.0
MTMK L1,4,2,train,total,0.9860416666666667
MTMK L1,4,2,train,image,1.0
MTMK L1,4,2,train,text,0.874375
MTMK L1,4,2,test,total,0.9766666666666666
MTMK L1,4,2,test,image,0.9974999999999999
MTMK L1,4,2,test,text,0.9
MTMK L1,4,3,train,total,0.9952777777777777
MTMK L1,4,3,train,image,1.0
MTMK L1,4,3,train,text,0.9575
MTMK L1,4,3,test,total,0.9033333333333333
MTMK L1,4,3,test,image,0.9550000000000001
MTMK L1,4,3,test,text,0.8500000000000001
MTMK L1,4,4,train,total,0.9874305555555556
MTMK L1,4,4,train,image,1.0
MTMK L1,4,4,train,text,0.901875
MTMK L1,4,4,test,total,0.9066666666666667
MTMK L1,4,4,test,image,0.935
MTMK L1,4,4,test,text,0.9199999999999999
MTMK L1,4,5,train,total,0.9986805555555556
MTMK L1,4,5,train,image,1.0
MTMK L1,4,5,train,text,0.9881250000000001
MTMK L1,4,5,test,total,0.9977777777777778
MTMK L1,4,5,test,image,1.0
MTMK L1,4,5,test,text,0.98
MTMK L1,4,AVG,train,total,0.9931886574074076
MTMK L1,4,AVG,train,image,0.9999869791666667
MTMK L1,4,AVG,train,text,0.9426041666666668
MTMK L1,4,AVG,test,total,0.9168518518518519
MTMK L1,4,AVG,test,image,0.9408333333333333
MTMK L1,4,AVG,test,text,0.9283333333333333
MTMK L1,AVG,0,train,total,0.9944374999999999
MTMK L1,AVG,0,train,image,0.9999218750000001
MTMK L1,AVG,0,train,text,0.9572499999999999
MTMK L1,AVG,0,test,total,0.8242222222222223
MTMK L1,AVG,0,test,image,0.833
MTMK L1,AVG,0,test,text,0.9199999999999999
MTMK L1,AVG,1,train,total,0.9979722222222221
MTMK L1,AVG,1,train,image,1.0
MTMK L1,AVG,1,train,text,0.985125
MTMK L1,AVG,1,test,total,0.8835555555555554
MTMK L1,AVG,1,test,image,0.913
MTMK L1,AVG,1,test,text,0.9800000000000001
MTMK L1,AVG,2,train,total,0.9881666666666666
MTMK L1,AVG,2,train,image,1.0
MTMK L1,AVG,2,train,text,0.8934999999999998
MTMK L1,AVG,2,test,total,0.9595555555555555
MTMK L1,AVG,2,test,image,0.9969999999999999
MTMK L1,AVG,2,test,text,0.784
MTMK L1,AVG,3,train,total,0.9949861111111111
MTMK L1,AVG,3,train,image,1.0
MTMK L1,AVG,3,train,text,0.9548749999999998
MTMK L1,AVG,3,test,total,0.8748888888888888
MTMK L1,AVG,3,test,image,0.9109999999999999
MTMK L1,AVG,3,test,text,0.8859999999999999
MTMK L1,AVG,4,train,total,0.9917222222222222
MTMK L1,AVG,4,train,image,1.0
MTMK L1,AVG,4,train,text,0.9359999999999999
MTMK L1,AVG,4,test,total,0.9228888888888889
MTMK L1,AVG,4,test,image,0.9600000000000002
MTMK L1,AVG,4,test,text,0.858
MTMK L1,AVG,5,train,total,0.9983333333333333
MTMK L1,AVG,5,train,image,1.0
MTMK L1,AVG,5,train,text,0.9850000000000001
MTMK L1,AVG,5,test,total,0.9962222222222221
MTMK L1,AVG,5,test,image,1.0
MTMK L1,AVG,5,test,text,0.974
MTMK L1,AVG,AVG,train,total,0.9942696759259257
MTMK L1,AVG,AVG,train,image,0.9999869791666666
MTMK L1,AVG,AVG,train,text,0.9519583333333334
MTMK L1,AVG,AVG,test,total,0.9102222222222223
MTMK L1,AVG,AVG,test,image,0.9356666666666665
MTMK L1,AVG,AVG,test,text,0.9003333333333334
